START TIME:2025-04-28 18:25:15,
78.22,1142678
78.261,1142706
78.297,1142757
78.332,1142706
78.372,1142683
78.408,1142755
78.451,1142616
78.486,1142710
78.522,1142802
78.564,1142699
78.599,1142676
78.642,1142634
78.677,1142786
78.712,1142769
78.753,1142753
78.788,1142704
78.823,1142625
78.864,1142736
78.899,1142667
78.942,1142795
78.978,1142770
79.013,1142704
79.056,1142710
79.091,1142820
79.126,1142868
79.166,1142654
79.201,1142652
79.244,1142829
79.278,1142833
79.314,1142819
79.355,1142806
79.39,1142853
79.433,1142942
79.469,1142957
79.504,1142898
79.548,1143014
79.583,1143018
79.625,1142493
79.66,1142175
79.695,1142037
79.736,1141705
79.771,1141391
79.806,1141312
79.847,1141184
79.883,1140921
79.926,1140668
79.961,1140706
79.997,1140533
80.04,1140360
80.075,1140203
80.115,1140232
80.15,1140120
80.185,1139977
80.226,1139927
80.261,1139760
80.296,1139616
80.339,1139693
80.374,1139608
80.417,1139591
80.452,1139440
80.487,1139264
80.53,1139223
80.566,1139199
80.608,1139110
80.642,1139226
80.677,1139058
80.719,1138963
80.754,1139019
80.789,1138797
80.829,1138915
80.865,1138840
80.908,1138656
80.943,1138716
80.979,1138542
81.022,1138586
81.057,1138511
81.098,1138436
81.133,1138487
81.168,1138393
81.208,1138474
81.243,1138393
81.279,1138310
81.321,1138346
81.356,1138338
81.399,1138515
81.434,1138095
81.476,1138352
81.517,1138427
81.556,1138372
81.598,1138246
81.635,1138184
81.678,1138186
81.714,1138051
81.756,1138019
81.793,1138078
81.828,1138060
81.863,1138009
81.903,1137900
81.938,1138028
81.977,1137986
82.014,1137919
82.057,1137831
82.093,1137912
82.136,1137847
82.173,1137740
82.208,1137830
82.243,1137772
82.284,1137731
82.319,1137751
82.361,1137756
82.396,1137663
82.431,1137590
82.473,1137630
82.509,1137637
82.552,1137571
82.587,1137487
82.622,1137599
82.666,1137552
82.701,1137404
82.743,1137489
82.778,1137431
82.813,1137470
82.854,1137465
82.889,1137427
82.924,1137358
82.965,1137403
83,1137421
83.043,1137407
83.079,1137262
83.114,1137354
83.157,1137302
83.192,1137297
83.227,1137244
83.267,1137348
83.302,1137306
83.337,1137144
83.378,1137203
83.413,1137310
83.455,1137123
83.491,1137107
83.534,1137186
83.569,1137166
83.604,1137121
83.647,1137021
83.682,1137091
83.717,1137156
83.758,1136991
83.793,1137032
83.829,1136998
83.87,1136996
83.905,1137028
83.947,1137026
83.982,1137063
84.025,1136998
84.061,1137070
84.096,1137109
84.138,1137021
84.173,1136999
84.208,1136911
84.251,1137033
84.286,1137013
84.321,1136915
84.362,1136892
84.397,1136943
84.437,1136879
84.473,1136875
84.516,1136916
84.552,1136779
84.587,1136846
84.629,1136722
84.664,1136827
84.699,1136698
84.741,1136668
84.776,1136693
84.811,1136786
84.851,1136749
84.886,1136762
84.929,1136691
84.964,1136628
85.007,1136646
85.042,1136697
85.078,1136670
85.12,1136627
85.155,1136587
85.19,1136766
85.231,1136693
85.266,1136659
85.302,1136604
85.343,1136645
85.377,1136688
85.42,1136636
85.456,1136725
85.498,1136721
85.534,1136665
85.569,1136617
85.611,1136712
85.647,1136722
85.682,1136584
85.723,1136635
85.758,1136633
